17/03/20 23:51:22 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:51:23 INFO client.RMProxy: Connecting to ResourceManager at invertedindex-m/10.138.0.4:8032
17/03/20 23:51:24 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:51:25 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/20 23:51:26 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/20 23:51:27 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/20 23:51:28 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/20 23:51:28 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490038588730_0004
17/03/20 23:51:28 INFO impl.YarnClientImpl: Submitted application application_1490038588730_0004
17/03/20 23:51:28 INFO mapreduce.Job: The url to track the job: http://invertedindex-m:8088/proxy/application_1490038588730_0004/
17/03/20 23:51:28 INFO mapreduce.Job: Running job: job_1490038588730_0004
17/03/20 23:51:36 INFO mapreduce.Job: Job job_1490038588730_0004 running in uber mode : false
17/03/20 23:51:36 INFO mapreduce.Job:  map 0% reduce 0%
17/03/20 23:52:30 INFO mapreduce.Job:  map 1% reduce 0%
17/03/20 23:53:55 INFO mapreduce.Job:  map 2% reduce 0%
17/03/20 23:55:18 INFO mapreduce.Job:  map 3% reduce 0%
17/03/20 23:56:42 INFO mapreduce.Job:  map 4% reduce 0%
17/03/20 23:58:00 INFO mapreduce.Job:  map 5% reduce 0%
17/03/20 23:59:13 INFO mapreduce.Job:  map 6% reduce 0%
17/03/21 00:00:35 INFO mapreduce.Job:  map 7% reduce 0%
17/03/21 00:01:52 INFO mapreduce.Job:  map 8% reduce 0%
17/03/21 00:03:15 INFO mapreduce.Job:  map 9% reduce 0%
17/03/21 00:04:28 INFO mapreduce.Job:  map 10% reduce 0%
17/03/21 00:05:44 INFO mapreduce.Job:  map 11% reduce 0%
17/03/21 00:07:00 INFO mapreduce.Job:  map 12% reduce 0%
17/03/21 00:08:18 INFO mapreduce.Job:  map 13% reduce 0%
17/03/21 00:09:33 INFO mapreduce.Job:  map 14% reduce 0%
17/03/21 00:10:49 INFO mapreduce.Job:  map 15% reduce 0%
17/03/21 00:12:01 INFO mapreduce.Job:  map 16% reduce 0%
17/03/21 00:13:16 INFO mapreduce.Job:  map 17% reduce 0%
17/03/21 00:14:30 INFO mapreduce.Job:  map 18% reduce 0%
17/03/21 00:15:43 INFO mapreduce.Job:  map 19% reduce 0%
17/03/21 00:16:56 INFO mapreduce.Job:  map 20% reduce 0%
17/03/21 00:18:14 INFO mapreduce.Job:  map 21% reduce 0%
17/03/21 00:19:24 INFO mapreduce.Job:  map 22% reduce 0%
17/03/21 00:20:38 INFO mapreduce.Job:  map 23% reduce 0%
17/03/21 00:21:50 INFO mapreduce.Job:  map 24% reduce 0%
17/03/21 00:23:03 INFO mapreduce.Job:  map 25% reduce 0%
17/03/21 00:24:17 INFO mapreduce.Job:  map 26% reduce 0%
17/03/21 00:25:30 INFO mapreduce.Job:  map 27% reduce 0%
17/03/21 00:26:41 INFO mapreduce.Job:  map 28% reduce 0%
17/03/21 00:27:56 INFO mapreduce.Job:  map 29% reduce 0%
17/03/21 00:29:11 INFO mapreduce.Job:  map 30% reduce 0%
17/03/21 00:30:18 INFO mapreduce.Job:  map 31% reduce 0%
17/03/21 00:31:32 INFO mapreduce.Job:  map 32% reduce 0%
17/03/21 00:32:48 INFO mapreduce.Job:  map 33% reduce 0%
17/03/21 00:34:02 INFO mapreduce.Job:  map 34% reduce 0%
17/03/21 00:35:13 INFO mapreduce.Job:  map 35% reduce 0%
17/03/21 00:36:26 INFO mapreduce.Job:  map 36% reduce 0%
17/03/21 00:37:39 INFO mapreduce.Job:  map 37% reduce 0%
17/03/21 00:38:47 INFO mapreduce.Job:  map 38% reduce 0%
17/03/21 00:40:02 INFO mapreduce.Job:  map 39% reduce 0%
17/03/21 00:41:14 INFO mapreduce.Job:  map 40% reduce 0%
17/03/21 00:42:24 INFO mapreduce.Job:  map 41% reduce 0%
17/03/21 00:43:35 INFO mapreduce.Job:  map 42% reduce 0%
17/03/21 00:44:45 INFO mapreduce.Job:  map 43% reduce 0%
17/03/21 00:46:01 INFO mapreduce.Job:  map 44% reduce 0%
17/03/21 00:47:10 INFO mapreduce.Job:  map 45% reduce 0%
17/03/21 00:48:24 INFO mapreduce.Job:  map 46% reduce 0%
17/03/21 00:49:32 INFO mapreduce.Job:  map 47% reduce 0%
17/03/21 00:50:47 INFO mapreduce.Job:  map 48% reduce 0%
17/03/21 00:51:58 INFO mapreduce.Job:  map 49% reduce 0%
17/03/21 00:53:10 INFO mapreduce.Job:  map 50% reduce 0%
17/03/21 00:54:00 INFO mapreduce.Job:  map 50% reduce 1%
17/03/21 00:54:48 INFO mapreduce.Job:  map 51% reduce 1%
17/03/21 00:57:13 INFO mapreduce.Job:  map 52% reduce 1%
17/03/21 00:59:35 INFO mapreduce.Job:  map 53% reduce 1%
17/03/21 01:02:02 INFO mapreduce.Job:  map 54% reduce 1%
17/03/21 01:03:10 INFO mapreduce.Job:  map 54% reduce 2%
17/03/21 01:04:24 INFO mapreduce.Job:  map 55% reduce 2%
17/03/21 01:06:43 INFO mapreduce.Job:  map 56% reduce 2%
17/03/21 01:09:03 INFO mapreduce.Job:  map 57% reduce 2%
17/03/21 01:11:19 INFO mapreduce.Job:  map 58% reduce 2%
17/03/21 01:13:46 INFO mapreduce.Job:  map 59% reduce 2%
17/03/21 01:16:03 INFO mapreduce.Job:  map 60% reduce 2%
17/03/21 01:18:22 INFO mapreduce.Job:  map 61% reduce 2%
17/03/21 01:20:43 INFO mapreduce.Job:  map 62% reduce 2%
17/03/21 01:22:57 INFO mapreduce.Job:  map 63% reduce 2%
17/03/21 01:25:12 INFO mapreduce.Job:  map 64% reduce 2%
17/03/21 01:27:29 INFO mapreduce.Job:  map 65% reduce 2%
17/03/21 01:29:47 INFO mapreduce.Job:  map 66% reduce 2%
17/03/21 01:32:04 INFO mapreduce.Job:  map 67% reduce 2%
17/03/21 01:34:23 INFO mapreduce.Job:  map 68% reduce 2%
17/03/21 01:36:39 INFO mapreduce.Job:  map 69% reduce 2%
17/03/21 01:38:59 INFO mapreduce.Job:  map 70% reduce 2%
17/03/21 01:41:16 INFO mapreduce.Job:  map 71% reduce 2%
17/03/21 01:43:39 INFO mapreduce.Job:  map 72% reduce 2%
17/03/21 01:45:58 INFO mapreduce.Job:  map 73% reduce 2%
17/03/21 01:48:15 INFO mapreduce.Job:  map 74% reduce 2%
17/03/21 01:50:26 INFO mapreduce.Job:  map 75% reduce 2%
17/03/21 01:52:42 INFO mapreduce.Job:  map 76% reduce 2%
17/03/21 01:54:49 INFO mapreduce.Job:  map 77% reduce 2%
17/03/21 01:57:02 INFO mapreduce.Job:  map 78% reduce 2%
17/03/21 01:59:17 INFO mapreduce.Job:  map 79% reduce 2%
17/03/21 02:01:32 INFO mapreduce.Job:  map 80% reduce 2%
17/03/21 02:03:44 INFO mapreduce.Job:  map 81% reduce 2%
17/03/21 02:06:02 INFO mapreduce.Job:  map 82% reduce 2%
17/03/21 02:08:10 INFO mapreduce.Job:  map 83% reduce 2%
17/03/21 02:10:29 INFO mapreduce.Job:  map 84% reduce 2%
17/03/21 02:12:40 INFO mapreduce.Job:  map 85% reduce 2%
17/03/21 02:14:56 INFO mapreduce.Job:  map 86% reduce 2%
17/03/21 02:17:06 INFO mapreduce.Job:  map 87% reduce 2%
17/03/21 02:19:17 INFO mapreduce.Job:  map 88% reduce 2%
17/03/21 02:21:28 INFO mapreduce.Job:  map 89% reduce 2%
17/03/21 02:23:49 INFO mapreduce.Job:  map 90% reduce 2%
17/03/21 02:24:54 INFO mapreduce.Job:  map 90% reduce 3%
17/03/21 02:25:58 INFO mapreduce.Job:  map 91% reduce 3%
17/03/21 02:28:11 INFO mapreduce.Job:  map 92% reduce 3%
17/03/21 02:30:30 INFO mapreduce.Job:  map 93% reduce 3%
