17/03/20 19:49:10 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 19:49:11 INFO client.RMProxy: Connecting to ResourceManager at invertedindex-m/10.138.0.4:8032
17/03/20 19:49:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 19:49:13 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/20 19:49:14 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/20 19:49:16 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/20 19:49:16 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/20 19:49:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490038588730_0003
17/03/20 19:49:17 INFO impl.YarnClientImpl: Submitted application application_1490038588730_0003
17/03/20 19:49:17 INFO mapreduce.Job: The url to track the job: http://invertedindex-m:8088/proxy/application_1490038588730_0003/
17/03/20 19:49:17 INFO mapreduce.Job: Running job: job_1490038588730_0003
17/03/20 19:49:28 INFO mapreduce.Job: Job job_1490038588730_0003 running in uber mode : false
17/03/20 19:49:28 INFO mapreduce.Job:  map 0% reduce 0%
17/03/20 19:50:22 INFO mapreduce.Job:  map 1% reduce 0%
17/03/20 19:51:42 INFO mapreduce.Job:  map 2% reduce 0%
17/03/20 19:52:58 INFO mapreduce.Job:  map 3% reduce 0%
17/03/20 19:54:15 INFO mapreduce.Job:  map 4% reduce 0%
17/03/20 19:55:31 INFO mapreduce.Job:  map 5% reduce 0%
17/03/20 19:56:50 INFO mapreduce.Job:  map 6% reduce 0%
17/03/20 19:58:03 INFO mapreduce.Job:  map 7% reduce 0%
17/03/20 19:59:19 INFO mapreduce.Job:  map 8% reduce 0%
17/03/20 20:00:37 INFO mapreduce.Job:  map 9% reduce 0%
17/03/20 20:01:53 INFO mapreduce.Job:  map 10% reduce 0%
17/03/20 20:03:04 INFO mapreduce.Job:  map 11% reduce 0%
17/03/20 20:04:16 INFO mapreduce.Job:  map 12% reduce 0%
17/03/20 20:05:33 INFO mapreduce.Job:  map 13% reduce 0%
17/03/20 20:06:45 INFO mapreduce.Job:  map 14% reduce 0%
17/03/20 20:08:00 INFO mapreduce.Job:  map 15% reduce 0%
17/03/20 20:09:13 INFO mapreduce.Job:  map 16% reduce 0%
17/03/20 20:10:26 INFO mapreduce.Job:  map 17% reduce 0%
17/03/20 20:11:38 INFO mapreduce.Job:  map 18% reduce 0%
17/03/20 20:12:50 INFO mapreduce.Job:  map 19% reduce 0%
